time (s),motor position (nm),sensor position (nm)
0.081019764,0,0
0.181068853,401,-234
0.281291897,-741,265
0.381272763,-856,-1931
0.481131736,-668,-1151
0.581136746,-466,-599
0.681217754,-360,1348
0.781241587,-282,1722
0.881182854,341,806
0.981177708,-182,-837
1.081313176,21,288
1.181290584,-284,-133
1.281326413,-286,665
1.381271848,-2,1716
1.4812531039999999,-533,-890
1.581321494,-367,1124
1.681196897,25,708
1.781157235,-672,-131
1.881291546,-471,863
1.981399792,-411,640
2.081119257,16,-660
3.202493005,222,2816
3.207605731,589,1797
3.212556269,21327,302
3.217633195,63773,519
3.22265513,115149,-8
3.227417522,168238,809
3.232647169,220718,-944
3.237530922,272888,-137
3.242456337,324127,170
3.247553929,374979,116
3.252453422,425503,-53
3.2576244389999998,476470,1858
3.262531649,527459,1704
3.26747561,578760,2104
3.272984357,629280,1608
3.277566122,678841,1678
3.282534398,730243,883
3.287450473,780120,851
3.292640506,830600,669
3.297646703,880468,-374
3.302533716,931461,31
3.307573079,981326,363
3.312443209,1030976,-24
3.31752027,1081214,-738
3.322639624,1131277,812
3.327357288,1180803,587
3.332499812,1231452,332
3.337462642,1281213,96
3.342530109,1331297,516
3.347616226,1381097,751
3.35266434,1431754,1637
3.35733188,1480822,1574
3.36256627,1530639,2093
3.367466198,1581135,1192
3.37267161,1631246,724
3.377411533,1680911,1654
3.382597659,1729779,990
3.3876352450000002,1780105,1781
3.392838027,1830267,807
3.3976412529999998,1880402,1523
3.402480774,1929189,1003
3.407351373,1978708,841
3.412406057,2026985,-413
3.417540044,2046899,248
3.422495299,1893588,-234
3.427490121,2072099,75
3.432536154,2189770,-1395
3.437547897,2264100,408
3.442784449,2321268,1252
3.447626168,2373415,1062
3.452636315,2424916,911
3.457429718,2475198,1834
3.46245239,2525193,2360
3.467405213,2577356,1576
3.472461062,2628302,131
3.477548244,2679555,740
3.482423396,2728188,1988
3.487735085,2779020,756
3.492726788,2829670,454
3.49768021,2879955,-856
3.502451488,2929059,-272
3.507678559,2979550,-418
3.512454285,3030496,652
3.51737068,3080216,880
3.5224483859999998,3130292,-1310
3.527350346,3179898,714
3.532675329,3231215,-142
3.537625761,3280076,-382
3.542639787,3330408,-430
3.547363175,3380350,-648
3.552470132,3430382,-1162
3.557444159,3480258,-368
3.56253333,3530342,1247
3.5676418,3580257,3019
3.572616501,3630916,325
3.5776748229999997,3679766,2385
3.582717997,3730440,5281
3.587541837,3779962,2404
3.5927287850000003,3829143,2932
3.597561934,3878942,2595
3.602581624,3927147,3318
3.607592206,3962301,-130
3.612534262,3872281,107
3.617515129,3926841,1056
3.622596132,4072218,-206
3.627512274,4157296,107
3.632467445,4219395,1249
3.63748494,4272876,-1101
3.642590316,4325342,236
3.647457971,4375200,710
3.65262816,4426710,1064
3.657476988,4477344,859
3.6626161120000003,4527889,1412
3.6675322599999998,4578820,2224
3.672616295,4629372,159
3.677698967,4679098,1473
3.6824542,4729143,1298
3.687503566,4779427,1387
3.692636163,4830302,401
3.697516286,4880463,20
3.70242468,4929766,311
3.707602824,4980772,837
3.712389474,5030957,-89
3.71771968,5081621,1724
3.722428658,5130400,133
3.727519318,5180792,-892
3.732694456,5230886,510
3.737416444,5280243,899
3.7423823560000002,5330360,577
3.747476788,5380607,1558
3.752576322,5430833,1765
3.757512721,5480911,765
3.762657968,5530722,1177
3.767420963,5579863,1102
3.772410851,5629779,1766
3.777515735,5680189,674
3.782673069,5730036,2710
3.787341775,5778787,1580
3.792665711,5828766,-1046
3.797556244,5877732,-1116
3.802665979,5914257,1858
3.807435457,5860990,1969
3.812637612,5871147,-759
3.817548033,6018148,342
3.82253622,6106372,1019
3.827630871,6168811,-319
3.832706323,6223092,-288
3.837492591,6274994,942
3.842690996,6325649,-265
3.847439082,6375746,702
3.852698759,6426726,522
3.85738086,6476964,1789
3.862578171,6527601,481
3.867472185,6578670,954
3.872643252,6629277,1798
3.877499094,6678880,1661
3.882665104,6729461,1435
3.887606188,6780401,-205
