time (s),force (N)
9.7e-08,-1.52122497559
0.099943288,-1.55601501465
0.199989364,-1.55578613281
0.29991875,-1.55433654785
0.399996512,-1.55715942383
0.499949381,-1.54335021973
0.599988859,-1.55662536621
0.699957729,-1.55723571777
0.7999744,-1.55563354492
0.899937185,-1.55639648438
0.99998237,-1.55517578125
1.099962295,-1.55632019043
1.199986542,-1.57104492188
1.300036878,-1.55487060547
1.400010598,-1.55616760254
1.499991458,-1.55693054199
1.600046198,-1.55616760254
1.6999939099999999,-1.60224914551
1.799942734,-1.55120849609
1.899994681,-1.55563354492
1.99997757,-1.55654907227
2.099973834,-1.54922485352
3.2019140090000002,-1.55731201172
3.206915055,-1.55723571777
3.211882844,-1.60491943359
3.216931067,-1.5559387207
3.22203371,-1.55410766602
3.226873633,-1.55540466309
3.232053569,-1.55578613281
3.236909714,-1.53411865234
3.241895008,-1.55632019043
3.24694996,-1.55670166016
3.252300952,-1.55639648438
3.2568769890000002,-1.55708312988
3.261885675,-1.54373168945
3.266949384,-1.55624389648
3.272111606,-1.55693054199
3.276925618,-1.58157348633
3.281931994,-1.55570983887
3.2868570999999998,-1.55746459961
3.292140969,-1.55563354492
3.296980644,-1.55624389648
3.301947367,-1.49765014648
3.306928999,-1.55632019043
3.311951178,-1.55639648438
3.316913139,-1.55754089355
3.321959411,-1.55632019043
3.326915591,-1.55349731445
3.33211609,-1.55715942383
3.336903836,-1.55670166016
3.341962065,-1.55708312988
3.346951631,-1.55609130859
3.351905417,-1.52488708496
3.356887424,-1.55548095703
3.361872788,-1.55685424805
3.366977157,-1.59568786621
3.37198039,-1.55654907227
3.376951402,-1.5503692627
3.3819002400000002,-1.5559387207
3.386849571,-1.55738830566
3.39236014,-1.49681091309
3.396928935,-1.5559387207
3.401938538,-1.55654907227
3.406967179,-1.55693054199
3.411963185,-1.55662536621
3.416902372,-1.57257080078
3.42195855,-1.55563354492
3.426893392,-1.55517578125
3.432179395,-1.59271240234
3.436957658,-1.55708312988
3.441886103,-1.56074523926
3.446947106,-1.55738830566
3.451932132,-1.5550994873
3.456904582,-1.54586791992
3.4619857290000002,-1.5559387207
3.466942539,-1.55639648438
3.47190376,-1.55654907227
3.477014569,-1.55609130859
3.481933976,-1.54151916504
3.487031089,-1.55570983887
3.492058367,-1.55563354492
3.496977729,-1.55662536621
3.501895943,-1.55624389648
3.5069028810000002,-1.55006408691
3.512138917,-1.55670166016
3.516829194,-1.55685424805
3.521910523,-1.49307250977
3.526931329,-1.55609130859
3.531979207,-1.55548095703
3.537015538,-1.55555725098
3.54190563,-1.55738830566
3.546959448,-1.55029296875
3.551899687,-1.55639648438
3.556918671,-1.55639648438
3.561952144,-1.59690856934
3.56697965,-1.55670166016
3.571907779,-1.55982971191
3.5769115559999998,-1.5567779541
3.581961066,-1.55647277832
3.586894525,-1.59622192383
3.591961133,-1.55685424805
3.596928518,-1.55616760254
3.601878054,-1.55632019043
3.606945612,-1.55570983887
3.611873287,-1.56326293945
3.616857413,-1.55616760254
3.621947966,-1.55807495117
3.626920054,-1.4998626709
3.632310292,-1.5559387207
3.637014947,-1.55708312988
3.641918782,-1.55708312988
3.646930602,-1.55693054199
3.6519388900000003,-1.55158996582
3.656928619,-1.55723571777
3.661854274,-1.55799865723
3.666917985,-1.49894714355
3.671902187,-1.55616760254
3.676894846,-1.55693054199
3.681903839,-1.5576171875
3.6869726959999998,-1.55700683594
3.692080583,-1.5771484375
3.696885074,-1.55632019043
3.701855303,-1.55746459961
3.706919833,-1.55632019043
3.711891499,-1.55792236328
3.716842275,-1.57020568848
3.7219962,-1.55555725098
3.726934777,-1.55754089355
3.731964663,-1.58996582031
3.736976644,-1.55738830566
3.741946226,-1.55982971191
3.747055196,-1.55616760254
3.751962749,-1.55632019043
3.757002696,-1.49871826172
3.761999046,-1.55693054199
3.767076142,-1.55578613281
3.771876769,-1.55624389648
3.776933712,-1.55670166016
3.781923708,-1.55693054199
3.786892393,-1.5552520752
3.791904155,-1.55632019043
3.796924663,-1.54563903809
3.801895495,-1.55654907227
3.806833829,-1.55090332031
3.811898361,-1.55639648438
3.816885674,-1.55708312988
3.8219624210000003,-1.56089782715
3.8269058510000002,-1.55662536621
3.83193356,-1.55799865723
3.836984802,-1.55776977539
